fare_id,price,currency_type,payment_method,transfers
220,220,JPY,0,0
270,270,JPY,0,0
340,340,JPY,0,0
230,230,JPY,0,0
250,250,JPY,0,0
260,260,JPY,0,0
170,170,JPY,0,0
240,240,JPY,0,0
290,290,JPY,0,0
280,280,JPY,0,0
380,380,JPY,0,0
200,200,JPY,0,0
310,310,JPY,0,0
210,210,JPY,0,0
320,320,JPY,0,0
360,360,JPY,0,0
190,190,JPY,0,0
410,410,JPY,0,0
450,450,JPY,0,0
370,370,JPY,0,0
300,300,JPY,0,0
480,480,JPY,0,0
520,520,JPY,0,0
560,560,JPY,0,0
630,630,JPY,0,0
700,700,JPY,0,0
990,990,JPY,0,0
1170,1170,JPY,0,0
350,350,JPY,0,0
390,390,JPY,0,0
430,430,JPY,0,0
470,470,JPY,0,0
540,540,JPY,0,0
910,910,JPY,0,0
1070,1070,JPY,0,0
460,460,JPY,0,0
850,850,JPY,0,0
1020,1020,JPY,0,0
810,810,JPY,0,0
1010,1010,JPY,0,0
330,330,JPY,0,0
400,400,JPY,0,0
500,500,JPY,0,0
790,790,JPY,0,0
980,980,JPY,0,0
730,730,JPY,0,0
920,920,JPY,0,0
890,890,JPY,0,0
180,180,JPY,0,0
670,670,JPY,0,0
860,860,JPY,0,0
820,820,JPY,0,0
590,590,JPY,0,0
780,780,JPY,0,0
720,720,JPY,0,0
640,640,JPY,0,0
440,440,JPY,0,0
490,490,JPY,0,0
550,550,JPY,0,0
620,620,JPY,0,0
650,650,JPY,0,0
510,510,JPY,0,0
420,420,JPY,0,0
600,600,JPY,0,0
660,660,JPY,0,0
710,710,JPY,0,0
750,750,JPY,0,0
570,570,JPY,0,0
680,680,JPY,0,0
770,770,JPY,0,0
610,610,JPY,0,0
740,740,JPY,0,0
530,530,JPY,0,0
